Gender,Formal_Education,Years_Coding,Salary,Age
0,2.25,6.6875,63569.828125,19.5
0,1.4680851063829787,3.9617021276595743,81898.43617021276,23.0
0,1.8946608946608947,5.763347763347763,101665.44805194806,27.0
0,2.0112079701120797,8.782067247820672,130376.53424657535,32.0
0,2.024390243902439,11.35609756097561,139484.87967479674,37.0
0,2.2576832151300237,12.756501182033096,154881.31914893616,42.0
0,2.0714285714285716,13.398809523809524,155624.52083333334,47.0
0,2.0794701986754967,13.52317880794702,149678.3228476821,52.0
0,1.973568281938326,15.374449339207048,158121.781938326,57.0
0,2.0759493670886076,15.004219409282701,147873.99789029534,64.5
