Gender,Formal_Education,Years_Coding,Salary,Age
1,0.9,3.6,84749.5,19.5
1,1.3404255319148937,4.276595744680851,72265.4574468085,23.0
1,2.231527093596059,6.16256157635468,102780.29310344828,27.0
1,2.018181818181818,7.9818181818181815,103727.90909090909,32.0
1,2.19672131147541,9.89344262295082,124011.81967213115,37.0
1,1.871559633027523,11.605504587155963,108215.09633027524,42.0
1,2.3142857142857145,13.371428571428572,125678.07142857143,47.0
1,2.4814814814814814,11.722222222222221,110471.72222222222,52.0
1,1.7692307692307692,12.384615384615385,147018.73076923078,57.0
1,2.125,15.083333333333334,129791.20833333333,64.5
